"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name","Sixth_keyword"
"Death-Rattle Oni","{6}{B}",7,"Flash
This spell costs {2} less to cast for each creature that died this turn.
When this creature enters, destroy all other creatures that were dealt damage this turn.",5,4,"legal","legal","Creature — Demon Spirit","Flash",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abea40c67-73ca-4b5e-b902-5de07f21585c&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Death-Rattle Oni",NA
"Sylvan Safekeeper","{G}",1,"Sacrifice a land: Target creature you control gains shroud until end of turn. (It can't be the target of spells or abilities.)",1,1,"not_legal","legal","Creature — Human Wizard",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abddf8f4a-3149-4dd6-a9e5-7747e7e45a1c&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sylvan Safekeeper",NA
"Dreadwurm","{4}{B}",5,"Landfall — Whenever a land you control enters, this creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",5,4,"not_legal","legal","Creature — Wurm Horror","Landfall",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9feb7600-f844-4573-bcb7-d6b34473517b&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dreadwurm",NA
"Evercoat Ursine","{4}{G}",5,"Trample
Hideaway 3, hideaway 3 (When this creature enters, look at the top three cards of your library, exile one face down, then put the rest on the bottom in a random order. Then do it again.)
Whenever this creature deals combat damage to a player, if there are cards exiled with it, you may play one of them without paying its mana cost.",6,5,"not_legal","legal","Creature — Elemental Bear","Trample","Hideaway",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A65c32889-3d70-449f-af76-05385c78c5a9&unique=prints","rare",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Evercoat Ursine",NA
"Eldritch Evolution","{1}{G}{G}",3,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0f77c0c9-4dc4-489a-b547-e93287c4d1a5&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Eldritch Evolution",NA
"Kadena, Slinking Sorcerer","{1}{B}{G}{U}",4,"The first face-down creature spell you cast each turn costs {3} less to cast.
Whenever a face-down creature you control enters, draw a card.",3,3,"not_legal","legal","Legendary Creature — Snake Wizard",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4da13eb8-ca18-43f1-b54b-d3ddceb980d2&unique=prints","mythic",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Kadena, Slinking Sorcerer",NA
"Yarus, Roar of the Old Gods","{2}{R}{G}",4,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.",4,4,"legal","legal","Legendary Creature — Centaur Druid",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A30fd6171-3e57-4c05-a86b-e1c0479ba236&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Yarus, Roar of the Old Gods",NA
"Hauntwoods Shrieker","{1}{G}{G}",3,"Whenever this creature attacks, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
{1}{G}: Reveal target face-down permanent. If it's a creature card, you may turn it face up.",3,3,"legal","legal","Creature — Beast Mutant","Manifest","Manifest dread",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A09c275bd-8323-485e-81f6-aff1f99d0d03&unique=prints","mythic",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hauntwoods Shrieker",NA
"Tomik, Wielder of Law","{1}{W}{B}",3,"Affinity for planeswalkers (This spell costs {1} less to cast for each planeswalker you control.)
Flying, vigilance
Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, that opponent loses 3 life and you draw a card.",2,4,"legal","legal","Legendary Creature — Human Advisor","Flying","Affinity","Vigilance",NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2ef0961a-0543-4371-8c2a-333881b735e5&unique=prints","mythic",3,"Flying","Not deathtouch","Not haste","Vigilance","Creature","Tomik, Wielder of Law",NA
"Venerated Rotpriest","{G}",1,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Whenever a creature you control becomes the target of a spell, target opponent gets a poison counter.",1,2,"legal","legal","Creature — Phyrexian Druid","Toxic",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aeafd7ba5-691d-4f8d-94bb-70a5612245a1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Venerated Rotpriest",NA
"Blossoming Tortoise","{2}{G}{G}",4,"Whenever this creature enters or attacks, mill three cards, then return a land card from your graveyard to the battlefield tapped.
Activated abilities of lands you control cost {1} less to activate.
Land creatures you control get +1/+1.",3,3,"legal","legal","Creature — Turtle","Mill",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5e1bf23b-7fb0-45ff-8544-fce9fa3eba00&unique=prints","mythic",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Blossoming Tortoise",NA
"Blasphemous Act","{8}{R}",9,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7a2484a9-04fd-41a0-8224-610c1c07ed10&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Blasphemous Act",NA
"Dragonsguard Elite","{1}{G}",2,"Magecraft — Whenever you cast or copy an instant or sorcery spell, put a +1/+1 counter on this creature.
{4}{G}{G}: Double the number of +1/+1 counters on this creature.",2,2,"not_legal","legal","Creature — Human Druid","Magecraft",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9bc966b3-1b6e-4bea-ab1d-321bc03d2bc7&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dragonsguard Elite",NA
"Mosswood Dreadknight // Dread Whispers","{1}{G} // {1}{B}",2,NA,3,2,"legal","legal","Creature — Human Knight // Sorcery — Adventure","Trample",NA,NA,NA,NA,"adventure","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5783facf-d26e-4aae-a753-b9dc553361c1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Mosswood Dreadknight // Dread Whispers",NA
"Innocent Traveler // Malicious Invader",NA,4,NA,NA,NA,"not_legal","legal","Creature — Human // Creature — Vampire","Flying","Transform",NA,NA,NA,"transform","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7950a7ff-7c2e-40fe-b64a-324f4fbcf528&unique=prints","uncommon",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Innocent Traveler // Malicious Invader",NA
"Phyrexian Gargantua","{4}{B}{B}",6,"When this creature enters, you draw two cards and you lose 2 life.",4,4,"legal","legal","Creature — Phyrexian Horror",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa3925dfd-62b0-44ef-8545-7bee92cad5a2&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Phyrexian Gargantua",NA
"World Breaker","{6}{G}",7,"Devoid (This card has no color.)
When you cast this spell, exile target artifact, enchantment, or land.
Reach
{2}{C}, Sacrifice a land: Return this card from your graveyard to your hand. ({C} represents colorless mana.)",5,7,"not_legal","legal","Creature — Eldrazi","Reach","Devoid",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adeeb7e22-b207-42de-b9d4-f790403d52a9&unique=prints","mythic",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","World Breaker",NA
"Murder","{1}{B}{B}",3,"Destroy target creature.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A938b4e2c-88d9-4637-bc00-e228920c9a78&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Murder",NA
"Undead Sprinter","{B}{R}",2,"Trample, haste
You may cast this card from your graveyard if a non-Zombie creature died this turn. If you do, this creature enters with a +1/+1 counter on it.",2,2,"legal","legal","Creature — Zombie","Haste","Trample",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3416ac84-c5ef-44be-894f-ab3b89e592ce&unique=prints","rare",2,"Not flying","Not deathtouch","Haste","Not vigilance","Creature","Undead Sprinter",NA
"Grave Betrayal","{5}{B}{B}",7,"Whenever a creature you don't control dies, return it to the battlefield under your control with an additional +1/+1 counter on it at the beginning of the next end step. That creature is a black Zombie in addition to its other colors and types.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A892c8fd1-9553-4ced-84ec-9fc35c314c76&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Grave Betrayal",NA
"Person of Interest","{3}{R}",4,"When this creature enters, suspect it. Create a 2/2 white and blue Detective creature token. (A suspected creature has menace and can't block.)",2,2,"legal","legal","Creature — Human Rogue","Suspect",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3d18cd9b-6013-48d7-9269-4787e7585a51&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Person of Interest",NA
"Defenestrated Phantom","{4}{W}{W}",6,"Flying
Disguise {4}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",4,3,"legal","legal","Creature — Spirit","Flying","Disguise",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae73addfa-d18a-46f7-882e-7bc2f292230b&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Defenestrated Phantom",NA
"Out Cold","{3}{U}",4,"This spell can't be countered. (This includes by the ward ability.)
Tap up to two target creatures and put a stun counter on each of them. Investigate. (If a permanent with a stun counter would become untapped, remove one from it instead.)",NA,NA,"legal","legal","Instant","Investigate",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2d16d51b-47e0-4cdc-83dd-a805ba50bd83&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Out Cold",NA
"Tunnel Tipster","{1}{G}",2,"At the beginning of your end step, if a face-down creature entered the battlefield under your control this turn, put a +1/+1 counter on this creature.
{T}: Add {G}.",1,1,"legal","legal","Creature — Mole Scout",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8d0bf685-e521-4d72-acc6-86794f685ce2&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Tunnel Tipster",NA
"Makeshift Binding","{2}{W}",3,"When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",NA,NA,"legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A942f3f06-1df0-40b4-8537-71cbec111852&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Makeshift Binding",NA
"Slime Against Humanity","{2}{G}",3,"Create a 0/0 green Ooze creature token with trample. Put X +1/+1 counters on it, where X is two plus the total number of cards you own in exile and in your graveyard that are Oozes or are named Slime Against Humanity.
A deck can have any number of cards named Slime Against Humanity.",NA,NA,"legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab53597f4-1a0f-4fa8-9c17-29178cdc4d2b&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Slime Against Humanity",NA
"Faerie Snoop","{1}{U}{B}",3,"Flying
Disguise {1}{U/B}{U/B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, look at the top two cards of your library. Put one into your hand and the other into your graveyard.",1,4,"legal","legal","Creature — Faerie Detective","Flying","Disguise",NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab759e8a6-8dd0-48ce-8816-e45b35a79895&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Faerie Snoop",NA
"A Killer Among Us","{4}{G}",5,"When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature token. Then secretly choose Human, Merfolk, or Goblin.
Sacrifice this enchantment, Reveal the creature type you chose: If target attacking creature token is the chosen type, put three +1/+1 counters on it and it gains deathtouch until end of turn.",NA,NA,"legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A79d577a8-53c0-4220-bc0e-70764d72d5fd&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","A Killer Among Us",NA
"Call a Surprise Witness","{1}{W}",2,"Return target creature card with mana value 3 or less from your graveyard to the battlefield. Put a flying counter on it. It's a Spirit in addition to its other types.",NA,NA,"legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9038a457-ce01-4f6d-9e2b-5220f08b4290&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Call a Surprise Witness",NA
"Forensic Researcher","{2}{U}",3,"{T}: Untap another target permanent you control.
{T}, Collect evidence 3: Tap target creature you don't control. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)",1,3,"legal","legal","Creature — Merfolk Detective","Collect evidence",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A75e7f7c7-fa98-497b-bf5e-8f74571e190c&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Forensic Researcher",NA
"Shadowy Backstreet",NA,0,"({T}: Add {W} or {B}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",NA,NA,"legal","legal","Land — Plains Swamp","Surveil",NA,NA,NA,NA,"normal","https://api.scryfall.com/cards/search?order=released&q=oracleid%3A216a2a92-9ca3-4ca3-8af7-686c13b04290&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Shadowy Backstreet",NA
